Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0
Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0
Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0
Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0
Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0
Méier;3;1;0;90;1550.0;844.0;80.0
Jacarepaguá;3;1;1;74;1900.0;556.0;98.0
Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0
Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0
Todos os Santos;3;1;1;78;1450.0;630.0;73.0
Tijuca;3;1;0;172;2700.0;780.0;170.0
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0
Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0
Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0
Tijuca;3;0;0;87;1600.0;650.0;100.0
Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0
Tijuca;3;1;1;78;2500.0;730.0;178.0
Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0
Maracanã;3;2;3;158;2400.0;1265.0;0.0
Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0
Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0
Tijuca;3;0;0;75;1800.0;350.0;0.0
Laranjeiras;3;1;1;90;2400.0;1311.0;0.0
Tijuca;3;1;0;129;1800.0;850.0;116.0
Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0
Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0
Ilha do Governador;3;1;0;83;1500.0;440.0;132.0
Maracanã;3;1;0;95;2500.0;600.0;80.0
Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0
Gávea;3;0;1;120;2700.0;880.0;238.0
Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0
Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0
Praça Seca;3;0;0;90;900.0;330.0;15.0
Vila Isabel;3;3;1;124;1700.0;1400.0;0.0
Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0
Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0
São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0
Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0
Copacabana;3;0;0;80;2500.0;800.0;157.0
Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0
Campo Grande;3;1;1;98;1800.0;950.0;0.0
Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0
Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0
Tijuca;3;1;0;88;2300.0;790.0;885.0
Tijuca;3;1;0;116;2000.0;790.0;194.0
Vila Isabel;3;0;0;82;1200.0;664.0;86.0
Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0
Bonsucesso;3;1;0;98;2800.0;390.0;0.0
Grajaú;3;2;1;90;2950.0;700.0;100.0
Humaitá;3;1;0;95;2300.0;1300.0;120.0
Barra da Tijuca;3;1;3;80;2800.0;1300.0;0.0
Recreio dos Bandeirantes;4;2;2;160;1900.0;830.0;0.0
Tijuca;3;1;1;106;2050.0;872.0;1008.0
Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0
Recreio dos Bandeirantes;3;2;1;185;2500.0;1355.0;2917.0
Recreio dos Bandeirantes;3;3;1;180;1300.0;1635.0;320.0
Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0
São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0
Tijuca;3;0;0;98;1700.0;390.0;93.0
Vila Valqueire;3;2;1;129;2200.0;755.0;195.0
Recreio dos Bandeirantes;3;1;1;80;1700.0;900.0;195.0
Barra da Tijuca;3;1;1;75;1900.0;750.0;60.0
Tijuca;3;0;0;86;1500.0;690.0;83.0
Tijuca;3;2;1;150;2000.0;1700.0;210.0
Vila Isabel;3;1;0;95;1250.0;650.0;60.0
Recreio dos Bandeirantes;3;1;1;82;2000.0;989.0;1313.0
Camorim;3;1;1;75;2100.0;680.0;0.0
Vila Isabel;3;1;2;79;2200.0;622.0;122.0
Tijuca;3;2;1;109;2500.0;742.0;105.0
Jacarepaguá;3;1;1;78;2000.0;1200.0;110.0
Freguesia (Jacarepaguá);3;1;1;81;1800.0;750.0;110.0
Barra da Tijuca;3;2;3;102;2700.0;1523.0;2944.0
Barra da Tijuca;4;2;1;115;2800.0;1800.0;250.0
Recreio dos Bandeirantes;3;2;1;80;2000.0;750.0;370.0
Recreio dos Bandeirantes;3;2;3;180;1700.0;1080.0;390.0
Tijuca;3;1;2;100;2500.0;1300.0;283.0
Recreio dos Bandeirantes;4;2;1;200;2950.0;1000.0;350.0
Recreio dos Bandeirantes;3;2;1;120;2700.0;790.0;200.0
Méier;3;1;0;100;1000.0;600.0;100.0
Barra da Tijuca;3;2;1;110;2000.0;1768.0;277.0
Tijuca;3;0;0;80;1600.0;350.0;0.0
Tijuca;3;2;1;120;2800.0;1600.0;170.0
Tijuca;3;1;0;81;1750.0;597.0;94.0
Tijuca;3;0;0;80;1600.0;660.0;98.0
Recreio dos Bandeirantes;3;2;2;148;2500.0;780.0;230.0
Tijuca;3;1;1;82;1800.0;1100.0;112.0
Recreio dos Bandeirantes;3;1;2;75;1500.0;1095.0;153.0
Tijuca;3;0;3;110;2800.0;250.0;235.0
Barra da Tijuca;3;2;1;172;2300.0;1600.0;450.0
Tijuca;3;2;1;85;2350.0;900.0;96.0
Tijuca;3;1;1;126;1800.0;1109.0;162.0
Recreio dos Bandeirantes;3;1;1;82;2200.0;740.0;138.0
Recreio dos Bandeirantes;3;2;1;78;1650.0;500.0;0.0
Recreio dos Bandeirantes;3;2;1;145;2500.0;676.0;0.0
Tijuca;3;2;1;102;2600.0;798.0;89.0
Barra da Tijuca;3;1;1;90;2850.0;850.0;130.0
Centro;3;1;0;95;2000.0;867.0;72.0
Tijuca;3;1;0;125;2500.0;1100.0;200.0
Tijuca;3;1;0;98;2200.0;630.0;0.0
Recreio dos Bandeirantes;3;2;1;109;2500.0;842.0;192.0
Jardim Guanabara;3;2;1;127;2500.0;620.0;293.0
Copacabana;4;0;0;103;2800.0;953.0;240.0
Recreio dos Bandeirantes;3;2;1;84;2150.0;711.0;19.0
Barra da Tijuca;3;2;1;112;2200.0;1752.0;256.0
Barra da Tijuca;4;2;1;121;2800.0;1190.0;209.0
Recreio dos Bandeirantes;3;1;1;83;2000.0;790.0;1655.0
Pechincha;3;1;1;85;1300.0;765.0;0.0
Recreio dos Bandeirantes;3;2;1;220;2500.0;1000.0;500.0
Pilares;3;2;1;82;2200.0;630.0;70.0
Andaraí;3;2;1;103;1600.0;700.0;160.0
Barra da Tijuca;3;1;1;103;2600.0;1350.0;230.0
Barra da Tijuca;3;1;3;80;2800.0;1300.0;140.0
Tijuca;4;1;1;190;2800.0;900.0;180.0
Barra da Tijuca;3;1;1;86;2000.0;759.0;0.0
Bonsucesso;3;1;0;87;1000.0;755.0;29.0
Botafogo;3;1;0;110;2500.0;1300.0;0.0
Copacabana;3;0;0;120;2300.0;1900.0;2362.0
Recreio dos Bandeirantes;3;0;1;79;2500.0;796.0;0.0
Barra da Tijuca;3;1;1;98;2400.0;1380.0;150.0
Barra da Tijuca;3;2;1;93;2500.0;1450.0;166.0
Recreio dos Bandeirantes;3;2;1;150;2300.0;600.0;350.0
Méier;3;1;0;85;1300.0;755.0;70.0
Andaraí;3;0;1;97;1650.0;263.0;100.0
Vila da Penha;3;1;1;90;2200.0;250.0;50.0
Tijuca;3;1;1;140;1800.0;1147.0;0.0
Barra da Tijuca;3;1;0;80;1700.0;1031.0;2195.0
Tijuca;3;1;0;140;2300.0;680.0;114.0
Barra da Tijuca;3;2;1;105;2300.0;1500.0;0.0
Recreio dos Bandeirantes;3;2;2;90;1950.0;715.0;154.0
Tijuca;3;1;0;80;1900.0;700.0;60.0
Recreio dos Bandeirantes;3;2;1;80;1900.0;650.0;137.0
Copacabana;3;1;0;81;2500.0;1000.0;1736.0
Laranjeiras;3;1;1;150;2700.0;1570.0;180.0
Recreio dos Bandeirantes;3;0;1;85;2100.0;791.0;0.0
Pechincha;3;0;0;78;1500.0;726.0;80.0
Freguesia (Jacarepaguá);3;2;1;158;2500.0;1600.0;262.0
Copacabana;3;1;1;90;2800.0;1200.0;150.0
Jardim Guanabara;3;2;1;125;2680.0;500.0;345.0
Recreio dos Bandeirantes;3;3;1;128;2800.0;914.0;236.0
Recreio dos Bandeirantes;3;1;1;90;1950.0;900.0;100.0
Tijuca;3;1;0;107;2300.0;400.0;0.0
Engenho de Dentro;3;1;0;75;1000.0;650.0;0.0
Barra da Tijuca;3;2;2;83;2400.0;607.0;1400.0
Recreio dos Bandeirantes;3;1;1;76;2200.0;780.0;120.0
Tijuca;3;1;1;87;2300.0;559.0;100.0
Recreio dos Bandeirantes;3;1;1;130;2800.0;7366.0;157.0
Barra da Tijuca;4;2;1;115;2800.0;1890.0;250.0
Vila Valqueire;3;1;0;94;1450.0;300.0;0.0
Tijuca;4;1;0;160;2000.0;1032.0;1056.0
Barra da Tijuca;3;2;3;145;2900.0;1800.0;0.0
Recreio dos Bandeirantes;3;1;1;84;2000.0;810.0;0.0
Gávea;3;0;1;120;2700.0;880.0;238.0
Tijuca;3;2;1;135;2000.0;920.0;2400.0
Pechincha;3;2;1;113;1300.0;840.0;0.0
Recreio dos Bandeirantes;3;1;1;91;1900.0;550.0;0.0
Recreio dos Bandeirantes;3;3;1;120;2600.0;930.0;380.0
Recreio dos Bandeirantes;3;1;1;81;1900.0;1014.0;80.0
Pechincha;3;1;1;108;1350.0;900.0;114.0
Barra da Tijuca;3;2;1;98;2800.0;1520.0;110.0
Cachambi;3;1;0;77;1300.0;420.0;25.0
Vila Valqueire;3;3;1;130;2000.0;275.0;0.0
Centro;3;2;1;120;2500.0;1500.0;208.0
Tijuca;3;1;0;105;2200.0;684.0;132.0
Todos os Santos;3;1;1;78;1300.0;571.0;0.0
Tijuca;3;1;0;75;1900.0;510.0;0.0
Barra da Tijuca;3;2;1;90;2800.0;1517.0;359.0
Copacabana;3;1;0;138;2800.0;1501.0;318.0
Recreio dos Bandeirantes;3;2;1;120;2200.0;550.0;174.0
Barra da Tijuca;3;1;1;88;2300.0;803.0;0.0
